true_label,predict_label_1,predict_label_2,predict_label_prob1,predict_label_prob2
4,3,5,0.512075722,0.295718312
5,5,3,0.418025166,0.400847733
4,4,6,0.532629251,0.401837707
4,4,1,0.588876843,0.349759758
4,6,4,0.568511069,0.341246635
7,1,7,0.60764724,0.364562422
0,1,0,0.447430521,0.346324593
7,1,4,0.533478081,0.397798747
4,4,0,0.531119347,0.262133539
3,3,2,0.633385479,0.345021695
7,1,7,0.620591938,0.354231775
3,6,13,0.377216607,0.282684624
0,0,9,0.588879764,0.388081938
5,5,6,0.505523622,0.436592281
1,4,1,0.54995966,0.432718128
5,5,4,0.580095291,0.367500275
12,12,2,0.627930343,0.335200191
6,6,1,0.527694285,0.374001861
4,0,4,0.497289717,0.464514017
5,5,6,0.495277256,0.465147257
5,3,0,0.526041687,0.379619896
7,3,8,0.410560459,0.263348311
5,6,9,0.38357988,0.292098701
7,1,7,0.606987178,0.380863994
11,11,8,0.540841758,0.299969435
4,5,4,0.510890007,0.427082032
3,3,4,0.533215225,0.340612441
0,8,0,0.596145272,0.348880738
7,7,0,0.571422875,0.387665063
7,7,1,0.535617113,0.440470904
1,0,1,0.54276675,0.406811386
8,8,10,0.457797229,0.348796129
8,3,8,0.605221212,0.356788635
10,10,8,0.604773462,0.33598718
5,6,2,0.4013367,0.267993957
11,10,0,0.547951221,0.33394596
5,0,5,0.588906348,0.339545488
4,4,1,0.585951626,0.352251589
5,5,11,0.293495685,0.208374619
6,5,6,0.54456538,0.433128566
8,3,8,0.616197288,0.361815572
5,3,2,0.584701777,0.390650243
7,7,0,0.540509403,0.434690654
4,1,4,0.594578028,0.342651546
10,4,10,0.511445701,0.438811928
6,6,0,0.521189332,0.395415127
6,6,5,0.504117966,0.444897413
0,0,1,0.573978722,0.320505321
3,9,3,0.43046546,0.270359039
0,0,7,0.566315889,0.400069714
0,0,5,0.480604857,0.228995636
6,6,5,0.531058729,0.426689625
6,7,6,0.495016903,0.362321854
7,7,10,0.499504119,0.315030962
4,10,4,0.464823693,0.259443939
0,0,4,0.491789967,0.435608387
6,6,0,0.590907156,0.379298419
5,5,4,0.446561426,0.408880204
0,9,0,0.618207633,0.346704543
5,5,11,0.513549328,0.445162088
4,4,5,0.511542022,0.455386192
3,5,3,0.482686907,0.405913144
8,8,10,0.544462323,0.389674515
0,0,4,0.538119614,0.399507314
0,0,5,0.477820009,0.289082438
1,1,9,0.454621851,0.299631715
9,0,9,0.527248323,0.438377261
7,1,7,0.524353266,0.436260909
4,3,4,0.507656455,0.42846337
9,9,0,0.569878399,0.390196055
9,0,9,0.519532859,0.447975934
0,0,5,0.537936568,0.405326366
7,8,7,0.564103723,0.357492834
0,5,0,0.574650645,0.347438365
4,4,2,0.391276747,0.310078979
1,7,1,0.476666123,0.310328275
8,8,0,0.551045477,0.261625171
8,8,7,0.389688224,0.21560891
0,4,0,0.510115027,0.422529161
7,1,7,0.551898062,0.403020561
1,0,1,0.510230839,0.479954243
1,1,7,0.481040031,0.398263812
7,2,4,0.563700974,0.328454822
4,0,4,0.582509756,0.360347182
7,1,7,0.502803326,0.431260735
4,1,4,0.584423006,0.360779107
0,5,0,0.631982923,0.341041893
1,8,1,0.573596478,0.297425658
3,3,4,0.429415733,0.337380677
3,0,3,0.551706076,0.428748786
6,0,6,0.316073805,0.293828696
1,7,1,0.573511541,0.41609332
6,6,5,0.55038327,0.410454124
5,4,5,0.497442275,0.477268904
0,5,0,0.535226464,0.410107434
7,1,7,0.536458552,0.42995131
12,2,5,0.463628262,0.462332815
0,9,0,0.465605825,0.45263201
9,9,0,0.524914801,0.381930083
7,1,0,0.530820251,0.338122278
9,0,9,0.533223093,0.411043644
4,0,4,0.484245002,0.316754401
12,12,5,0.540983021,0.388779938
11,6,5,0.525732577,0.274290174
1,1,4,0.556136549,0.423439771
0,9,0,0.48058778,0.434659928
0,4,0,0.51051265,0.41837889
5,5,7,0.498215437,0.34842661
0,0,3,0.538600564,0.313649863
4,1,4,0.541928291,0.434546232
1,1,10,0.570790589,0.391303957
7,1,7,0.614258766,0.324724168
1,0,1,0.635588408,0.354268551
5,5,0,0.520144641,0.356529891
3,10,3,0.514136195,0.418852985
0,0,6,0.544699728,0.384989649
4,0,4,0.527270913,0.452981353
4,4,0,0.497056752,0.346397609
1,1,7,0.508980632,0.4616822
0,4,0,0.555884838,0.415274382
0,1,0,0.565474331,0.413911164
9,9,0,0.51005137,0.469271213
9,2,9,0.559084833,0.362891406
4,4,1,0.51492542,0.33860001
9,9,0,0.592992246,0.30107227
5,5,4,0.553785503,0.336184978
3,3,5,0.545866966,0.348211199
0,1,0,0.472851574,0.427106142
10,5,10,0.45788601,0.421997368
7,1,5,0.444424242,0.435849816
10,10,1,0.41763109,0.259236991
4,4,6,0.377010882,0.363319784
1,1,4,0.574056089,0.394065619
5,5,0,0.456413746,0.347225487
7,1,7,0.577160597,0.393727362
6,0,4,0.352127224,0.290009409
1,4,1,0.495150089,0.465806782
0,11,0,0.470805615,0.430506855
1,1,0,0.53376615,0.455758482
4,4,5,0.477155358,0.468131185
8,3,8,0.542199373,0.418044835
3,0,3,0.487996668,0.452397436
8,9,0,0.349549979,0.233342722
0,6,4,0.531408548,0.295958936
0,0,5,0.522023618,0.34824878
8,3,8,0.433527052,0.235975474
10,7,1,0.396908492,0.363287777
8,8,3,0.567319691,0.304358006
11,9,11,0.433675706,0.351540178
9,9,0,0.618269801,0.352689147
7,7,0,0.4868007,0.272428036
9,0,9,0.516687453,0.36685428
7,7,10,0.579769373,0.365948319
0,0,5,0.61892885,0.360848159
1,1,0,0.553846002,0.42788434
7,6,7,0.48236227,0.35176003
3,8,3,0.59778446,0.355928212
12,5,12,0.588358641,0.324106872
0,0,4,0.54900831,0.305281222
1,10,1,0.557492554,0.396849453
2,3,2,0.624750197,0.34589532
4,4,0,0.445984215,0.436678886
8,8,0,0.48130545,0.324407429
4,3,4,0.364665717,0.300769985
1,1,7,0.374778211,0.31614089
1,7,1,0.51584965,0.472837389
0,0,3,0.556488097,0.298933327
8,8,0,0.494716108,0.448883414
5,4,5,0.502678871,0.421494782
10,7,1,0.453055561,0.363365918
1,0,1,0.611487865,0.377877474
7,7,1,0.531024814,0.413943499
0,8,10,0.229330674,0.22368601
7,7,10,0.495384485,0.458521158
7,7,1,0.59057498,0.365799725
5,5,4,0.58914578,0.368750989
6,5,0,0.545808315,0.394163549
11,8,11,0.518436193,0.404323995
9,0,9,0.524028063,0.357618511
7,1,7,0.520672977,0.453700304
7,6,7,0.431697339,0.206058204
5,5,0,0.569488704,0.316481322
6,5,0,0.542439103,0.328828335
0,0,6,0.382702172,0.328376681
4,4,1,0.505593181,0.468661577
5,0,7,0.419968367,0.3460491
5,0,5,0.596973062,0.36322847
2,12,2,0.557762027,0.387753516
4,3,4,0.497463644,0.426022828
0,6,0,0.513634443,0.302348912
1,1,0,0.572976768,0.40998292
9,0,9,0.616373718,0.326346815
13,6,13,0.52761358,0.307851374
1,7,1,0.560712159,0.419745594
1,7,4,0.462627709,0.331399649
3,8,3,0.527914703,0.408095539
4,5,4,0.512136698,0.44762817
3,3,9,0.406968772,0.326772004
5,5,0,0.489204675,0.479411006
5,4,5,0.407539189,0.315514326
0,1,0,0.592204452,0.314915717
5,0,5,0.495597035,0.474972278
5,5,6,0.58716768,0.333804399
0,6,0,0.492599785,0.463334948
11,11,3,0.420419216,0.333358973
9,9,0,0.579579771,0.368290812
7,1,7,0.626082361,0.336019397
1,1,0,0.570719004,0.28772983
6,6,5,0.634285212,0.342896402
0,0,1,0.557410717,0.331921786
7,1,7,0.509763122,0.476697594
11,8,11,0.575734377,0.35721308
0,1,0,0.446279645,0.286902487
0,5,0,0.442223847,0.309218854
0,1,0,0.548799217,0.442514002
4,2,5,0.232620761,0.198748618
1,1,7,0.640633821,0.348481178
0,0,1,0.489297599,0.201376826
9,9,0,0.554485917,0.375006527
5,4,5,0.397939771,0.297701031
7,1,7,0.552173495,0.417352349
4,4,9,0.479082942,0.3993406
11,8,3,0.445460916,0.368544877
6,6,0,0.390230507,0.337788999
0,5,0,0.4366166,0.333945841
0,0,3,0.609351397,0.372728199
4,4,0,0.467215627,0.459223151
0,4,0,0.482448429,0.475538522
0,1,0,0.503884256,0.375351876
3,3,4,0.559183896,0.399869949
5,3,10,0.489765257,0.331394374
0,0,4,0.445104003,0.172046795
1,7,1,0.513006985,0.460101098
1,1,7,0.638724864,0.351684004
2,2,12,0.517706156,0.444532663
1,7,1,0.627270758,0.3628546
5,5,7,0.313807696,0.127152205
4,6,4,0.505494475,0.430474281
7,1,7,0.53837359,0.422487855
1,1,2,0.571185172,0.36354208
5,4,5,0.621961236,0.340399057
9,0,9,0.567941368,0.410701901
4,6,4,0.551045716,0.366803408
5,0,5,0.556324363,0.414650798
7,7,1,0.532733738,0.445884079
0,4,0,0.599341273,0.380083382
7,7,1,0.509426832,0.47831291
6,5,6,0.54377681,0.430760384
6,6,5,0.486501426,0.37231335
0,0,2,0.594507277,0.375562966
6,2,6,0.520865262,0.323452383
0,9,0,0.578689933,0.375667304
5,5,0,0.590561688,0.377622604
0,9,0,0.490442723,0.483496428
12,12,5,0.580625892,0.319594383
1,1,0,0.640513599,0.3472054
1,1,7,0.621374547,0.361909896
7,1,7,0.591558993,0.33540687
1,1,7,0.572937489,0.407605439
0,4,0,0.48977229,0.447647125
1,1,7,0.553696513,0.382697493
9,0,1,0.518640995,0.461429626
7,8,7,0.454897642,0.310928673
7,7,1,0.48217696,0.467842042
9,0,9,0.540795624,0.425865144
7,5,7,0.541090965,0.248524979
4,4,5,0.592343211,0.327109903
7,7,1,0.575294018,0.371720403
3,8,3,0.301566601,0.15567334
1,7,1,0.47419259,0.44576019
10,5,10,0.546543181,0.354457557
4,4,1,0.499716967,0.428957015
7,7,1,0.585275054,0.403165966
0,6,0,0.212098256,0.201380655
4,4,5,0.491619676,0.482691973
1,10,1,0.597432971,0.355536222
7,1,7,0.574264705,0.411001086
1,7,1,0.482426196,0.441256881
4,0,4,0.534854472,0.394310713
0,4,0,0.482470244,0.442352235
0,0,9,0.48693046,0.298077822
4,4,0,0.506578267,0.478812486
3,3,0,0.607581079,0.375279188
0,0,1,0.552785695,0.385981232
2,3,2,0.519726217,0.289225429
11,9,1,0.548968196,0.412825644
0,9,0,0.583459854,0.372381479
0,4,0,0.597467184,0.360244602
2,2,3,0.546924949,0.411019593
1,1,0,0.540474057,0.418543577
1,1,0,0.613688707,0.346859634
5,12,5,0.510411382,0.418563038
4,4,5,0.480057746,0.478021115
0,0,4,0.513446212,0.30002296
1,0,4,0.575564325,0.309193254
6,3,6,0.502815425,0.271250665
0,1,0,0.403682023,0.31561482
7,1,7,0.450899065,0.333342046
0,4,0,0.634375572,0.344421029
10,10,7,0.550025642,0.360907435
7,1,7,0.608796835,0.380501151
7,1,7,0.473964721,0.424985468
9,9,0,0.513435721,0.464257658
2,12,2,0.594356239,0.356098533
7,7,1,0.605213046,0.371753842
0,0,1,0.56156075,0.372984171
1,1,8,0.456467032,0.404283017
1,1,0,0.606372356,0.382300436
1,7,1,0.604852617,0.352639943
5,4,1,0.497823089,0.237688959
7,10,7,0.56669569,0.316744328
9,9,0,0.495264053,0.420457661
1,7,1,0.614877641,0.37535134
2,2,3,0.51995945,0.393354505
0,0,8,0.487701833,0.365341306
1,1,4,0.456197649,0.383740634
4,3,4,0.545728207,0.386358261
0,1,0,0.586741686,0.397420466
0,0,9,0.589237869,0.386843681
0,0,1,0.602833211,0.380593389
7,1,7,0.555274248,0.436066151
0,5,0,0.505894244,0.41814068
0,0,9,0.607688189,0.358046055
0,0,4,0.504718781,0.35149774
4,4,0,0.568698227,0.392692089
10,0,10,0.572004497,0.353222907
5,5,0,0.497417867,0.348948956
0,8,0,0.610184729,0.311191648
2,2,3,0.559931815,0.394471973
3,3,2,0.586536825,0.395374924
6,6,5,0.567530215,0.409654349
2,2,3,0.556142092,0.425214618
5,0,5,0.587939501,0.349144489
9,9,0,0.548426509,0.373535454
6,6,9,0.422760814,0.295667678
0,4,8,0.450829953,0.289287895
4,4,10,0.433240741,0.432727873
5,0,5,0.554770708,0.388237953
7,7,1,0.522461295,0.372512579
4,4,1,0.492277652,0.490181714
4,6,1,0.226229161,0.225728795
1,1,4,0.522830784,0.403202295
6,4,0,0.511405647,0.400779665
1,10,1,0.601371706,0.306632489
1,1,0,0.53117156,0.415411681
1,7,1,0.604052842,0.380945563
0,0,1,0.609592974,0.363055706
5,7,6,0.418180555,0.212656707
1,1,0,0.511885524,0.478144884
1,0,1,0.616794765,0.37154302
4,4,5,0.489657193,0.338810205
0,0,9,0.509872913,0.456988305
0,9,0,0.605295539,0.340149909
9,0,9,0.530101597,0.410603315
4,2,4,0.382570535,0.375522643
1,6,1,0.452741355,0.284342706
7,7,1,0.523022473,0.454375625
1,3,1,0.552823544,0.28442362
1,1,0,0.57092154,0.312050015
6,7,6,0.435361356,0.279536039
5,4,5,0.550667465,0.384688139
1,1,0,0.394042283,0.346668273
0,9,0,0.625086665,0.332344979
1,1,4,0.571671307,0.410322934
5,0,5,0.563424647,0.351766407
0,9,0,0.569913864,0.370423317
1,0,1,0.627880394,0.354562342
4,10,4,0.540423691,0.381013513
9,0,5,0.555448711,0.416816831
6,0,6,0.442678422,0.317732185
4,4,1,0.596689165,0.320838571
11,11,8,0.437551498,0.350081265
0,9,0,0.511393487,0.278954029
4,0,4,0.441246688,0.439346403
10,5,0,0.40098682,0.310415
1,1,7,0.579519331,0.410200745
10,10,7,0.481418461,0.367625654
7,10,7,0.266604483,0.245315835
4,0,4,0.597082436,0.366668701
0,0,9,0.493477494,0.438760042
5,0,5,0.556906164,0.279262304
7,1,7,0.507721066,0.456651628
9,9,0,0.479967237,0.461813122
1,1,0,0.533998907,0.416072667
10,1,8,0.553705513,0.301448673
1,4,1,0.534858108,0.450273752
5,0,5,0.569408655,0.402703315
6,4,6,0.492849976,0.291851789
10,4,10,0.52479279,0.38147527
4,5,4,0.608641565,0.339403629
1,4,1,0.592764258,0.384210914
5,0,5,0.502016604,0.466952205
7,7,8,0.449465811,0.316787183
0,5,7,0.460744083,0.326734543
0,4,0,0.558562934,0.426628739
4,1,7,0.480266541,0.34851253
3,3,0,0.620602131,0.35225451
0,0,9,0.592219234,0.384098381
5,10,5,0.590127051,0.36946857
8,3,8,0.399740934,0.390912563
4,0,10,0.423908263,0.377897561
1,1,7,0.57044965,0.414203763
12,5,12,0.476043493,0.458395928
5,5,4,0.573641717,0.399453163
0,1,0,0.625609279,0.364268959
4,5,4,0.557133079,0.382082701
3,0,3,0.441610426,0.380580634
5,3,2,0.435350388,0.418099612
10,10,5,0.547317326,0.27483362
7,7,1,0.618916929,0.363641441
1,7,1,0.626993895,0.331892222
0,0,1,0.595254302,0.303862303
2,3,2,0.520166695,0.455577463
7,1,7,0.631895363,0.347143143
1,1,7,0.559122384,0.419169486
0,0,4,0.583414912,0.39658311
7,7,1,0.538519025,0.300111711
2,2,3,0.557784557,0.401003122
8,8,10,0.426035702,0.130277932
0,4,0,0.365797549,0.345331907
4,5,4,0.423643619,0.402873367
5,5,0,0.522577643,0.453032464
0,4,1,0.498894215,0.235421047
4,4,0,0.535548806,0.389792681
10,10,8,0.364467144,0.191675335
0,7,0,0.455082029,0.252753854
7,7,1,0.574213624,0.409250349
8,10,8,0.29519251,0.268593699
9,0,9,0.630952418,0.344991207
1,1,0,0.530416965,0.424040049
13,13,10,0.464500606,0.297365963
0,0,3,0.395053774,0.34480682
7,1,7,0.578387916,0.410199672
3,2,3,0.488703936,0.416646391
4,1,4,0.524672985,0.380163103
5,3,5,0.272205681,0.2538957
7,7,1,0.628121912,0.358683378
0,0,5,0.504797935,0.451015145
7,7,1,0.513859272,0.466563106
5,5,6,0.502956629,0.456025243
0,1,0,0.51271826,0.463099927
6,2,6,0.360861063,0.256002933
5,5,10,0.456786484,0.444692791
6,9,0,0.609672904,0.351631075
5,5,2,0.486850083,0.432834029
0,0,4,0.615127444,0.364136547
9,0,9,0.538265944,0.416547
4,5,4,0.509812295,0.459700942
5,4,5,0.465948254,0.357397795
1,1,7,0.589067578,0.391003847
3,3,0,0.307881862,0.178790301
7,7,6,0.493163586,0.427976876
4,1,4,0.519542217,0.41601944
1,0,1,0.518680811,0.409069866
9,9,0,0.576355934,0.371174932
3,3,7,0.508640349,0.301549762
7,0,1,0.510245621,0.369356155
4,1,0,0.417139798,0.234555781
3,11,8,0.455374569,0.366342664
1,1,7,0.50009203,0.453538448
7,7,11,0.451482683,0.285044879
0,4,0,0.387012601,0.262374461
0,1,0,0.555567026,0.407927394
5,5,12,0.517614961,0.334775716
4,4,0,0.534478247,0.278283238
2,2,12,0.614443004,0.344209582
6,5,4,0.55865109,0.348384619
3,6,5,0.625421762,0.338262647
8,8,0,0.476216882,0.472937435
11,11,0,0.411545664,0.146578342
5,4,5,0.531718135,0.398469806
